timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1653294311696,17891,Home page,200,,User threads 1-67,text,true,,3364,116,500,500,http://localhost:8080/,17891,0,1
1653294310919,18670,Home page,200,,User threads 1-31,text,true,,3364,116,500,500,http://localhost:8080/,18669,0,0
1653294313761,15910,Home page,200,,User threads 1-165,text,true,,3364,116,500,500,http://localhost:8080/,15827,0,1
1653294312351,17323,Home page,200,,User threads 1-97,text,true,,3364,116,500,500,http://localhost:8080/,17323,0,1
1653294312001,17769,Home page,200,,User threads 1-81,text,true,,3364,116,500,500,http://localhost:8080/,17769,0,0
1653294313080,16691,Home page,200,,User threads 1-132,text,true,,3364,116,500,500,http://localhost:8080/,16507,0,1
1653294314439,15332,Home page,200,,User threads 1-197,text,true,,3364,116,500,500,http://localhost:8080/,15332,0,0
1653294312775,17000,Home page,200,,User threads 1-117,text,true,,3364,116,500,500,http://localhost:8080/,17000,0,1
1653294311086,18691,Home page,200,,User threads 1-39,text,true,,3364,116,500,500,http://localhost:8080/,18590,0,1
1653294311764,18013,Home page,200,,User threads 1-70,text,true,,3364,116,500,500,http://localhost:8080/,18012,0,1
1653294312022,17855,Home page,200,,User threads 1-82,text,true,,3364,116,500,500,http://localhost:8080/,17649,0,0
1653294314668,15214,Home page,200,,User threads 1-208,text,true,,3364,116,500,500,http://localhost:8080/,15213,0,1
1653294311720,18249,Home page,200,,User threads 1-68,text,true,,3364,116,500,500,http://localhost:8080/,18160,0,1
1653294313061,16909,Home page,200,,User threads 1-131,text,true,,3364,116,500,500,http://localhost:8080/,16820,0,0
1653294314239,15732,Home page,200,,User threads 1-188,text,true,,3364,116,500,500,http://localhost:8080/,15349,0,0
1653294313698,16274,Home page,200,,User threads 1-162,text,true,,3364,116,500,500,http://localhost:8080/,16182,0,1
1653294312919,17053,Home page,200,,User threads 1-124,text,true,,3364,116,500,500,http://localhost:8080/,16855,0,1
1653294312134,17845,Home page,200,,User threads 1-87,text,true,,3364,116,500,500,http://localhost:8080/,17843,0,0
1653294311609,18466,Home page,200,,User threads 1-63,text,true,,3364,116,500,500,http://localhost:8080/,18466,0,0
1653294311564,18515,Home page,200,,User threads 1-61,text,true,,3364,116,500,500,http://localhost:8080/,18513,0,1
1653294311744,18335,Home page,200,,User threads 1-69,text,true,,3364,116,500,500,http://localhost:8080/,18331,0,0
1653294312110,17969,Home page,200,,User threads 1-86,text,true,,3364,116,500,500,http://localhost:8080/,17866,0,0
1653294311676,18495,Home page,200,,User threads 1-66,text,true,,3364,116,500,500,http://localhost:8080/,18303,0,1
1653294311523,18650,Home page,200,,User threads 1-59,text,true,,3364,116,500,500,http://localhost:8080/,18649,0,0
1653294312894,17283,Home page,200,,User threads 1-123,text,true,,3364,116,500,500,http://localhost:8080/,17280,0,1
1653294313576,16603,Home page,200,,User threads 1-156,text,true,,3364,116,500,500,http://localhost:8080/,16603,0,0
1653294314159,16108,Home page,200,,User threads 1-184,text,true,,3364,116,500,500,http://localhost:8080/,15820,0,1
1653294311496,18774,Home page,200,,User threads 1-58,text,true,,3364,116,500,500,http://localhost:8080/,18774,0,1
1653294312092,18178,Home page,200,,User threads 1-85,text,true,,3364,116,500,500,http://localhost:8080/,17889,0,1
1653294312585,17688,Home page,200,,User threads 1-108,text,true,,3364,116,500,500,http://localhost:8080/,17685,0,0
1653294310674,19601,Home page,200,,User threads 1-20,text,true,,3364,116,500,500,http://localhost:8080/,19299,0,1
1653294314456,16018,Home page,200,,User threads 1-198,text,true,,3364,116,500,500,http://localhost:8080/,15516,0,1
1653294312457,18018,Home page,200,,User threads 1-102,text,true,,3364,116,500,500,http://localhost:8080/,17423,0,0
1653294314302,16173,Home page,200,,User threads 1-191,text,true,,3364,116,500,500,http://localhost:8080/,15573,0,1
1653294314092,16392,Home page,200,,User threads 1-181,text,true,,3364,116,500,500,http://localhost:8080/,16391,0,1
1653294312627,17942,Home page,200,,User threads 1-110,text,true,,3364,116,500,500,http://localhost:8080/,17549,0,1
1653294314284,16288,Home page,200,,User threads 1-190,text,true,,3364,116,500,500,http://localhost:8080/,15690,0,0
1653294312223,18350,Home page,200,,User threads 1-91,text,true,,3364,116,500,500,http://localhost:8080/,18047,0,1
1653294312244,18430,Home page,200,,User threads 1-92,text,true,,3364,116,500,500,http://localhost:8080/,18429,0,1
1653294313369,17308,Home page,200,,User threads 1-146,text,true,,3364,116,500,500,http://localhost:8080/,17308,0,0
1653294311045,19634,Home page,200,,User threads 1-37,text,true,,3364,116,500,500,http://localhost:8080/,19634,0,1
1653294312690,18080,Home page,200,,User threads 1-113,text,true,,3364,116,500,500,http://localhost:8080/,18080,0,1
1653294313239,17638,Home page,200,,User threads 1-140,text,true,,3364,116,500,500,http://localhost:8080/,17532,0,1
1653294313476,17404,Home page,200,,User threads 1-151,text,true,,3364,116,500,500,http://localhost:8080/,17403,0,0
1653294311127,19755,Home page,200,,User threads 1-41,text,true,,3364,116,500,500,http://localhost:8080/,19752,0,1
1653294310474,20410,Home page,200,,User threads 1-11,text,true,,3364,116,500,500,http://localhost:8080/,20410,0,1
1653294312327,18647,Home page,200,,User threads 1-96,text,true,,3364,116,500,500,http://localhost:8080/,18647,0,1
1653294311282,19695,Home page,200,,User threads 1-48,text,true,,3364,116,500,500,http://localhost:8080/,19694,0,1
1653294311456,19522,Home page,200,,User threads 1-56,text,true,,3364,116,500,500,http://localhost:8080/,19522,0,1
1653294314480,16587,Home page,200,,User threads 1-199,text,true,,3364,116,500,500,http://localhost:8080/,16587,0,0
1653294313964,17103,Home page,200,,User threads 1-175,text,true,,3364,116,500,500,http://localhost:8080/,17103,0,1
1653294311542,19526,Home page,200,,User threads 1-60,text,true,,3364,116,500,500,http://localhost:8080/,19340,0,1
1653294313099,17970,Home page,200,,User threads 1-133,text,true,,3364,116,500,500,http://localhost:8080/,17969,0,0
1653294313454,17722,Home page,200,,User threads 1-150,text,true,,3364,116,500,500,http://localhost:8080/,17428,0,0
1653294312647,18532,Home page,200,,User threads 1-111,text,true,,3364,116,500,500,http://localhost:8080/,18026,0,1
1653294313674,17594,Home page,200,,User threads 1-161,text,true,,3364,116,500,500,http://localhost:8080/,17501,0,0
1653294314219,17051,Home page,200,,User threads 1-187,text,true,,3364,116,500,500,http://localhost:8080/,16957,0,1
1653294314586,16686,Home page,200,,User threads 1-204,text,true,,3364,116,500,500,http://localhost:8080/,16187,0,0
1653294330570,703,CSS,200,,User threads 1-184,text,true,,152736,143,500,500,http://localhost:8080/resources/css/petclinic.css,316,0,0
1653294314753,16719,Home page,200,,User threads 1-212,text,true,,3364,116,500,500,http://localhost:8080/,16517,0,0
1653294312605,19067,Home page,200,,User threads 1-109,text,true,,3364,116,500,500,http://localhost:8080/,18968,0,1
1653294315389,16382,Home page,200,,User threads 1-242,text,true,,3364,116,500,500,http://localhost:8080/,16380,0,1
1653294311024,20752,Home page,200,,User threads 1-36,text,true,,3364,116,500,500,http://localhost:8080/,20751,0,1
1653294313349,18524,Home page,200,,User threads 1-145,text,true,,3364,116,500,500,http://localhost:8080/,18426,0,1
1653294313164,18712,Home page,200,,User threads 1-136,text,true,,3364,116,500,500,http://localhost:8080/,18712,0,1
1653294312264,19615,Home page,200,,User threads 1-93,text,true,,3364,116,500,500,http://localhost:8080/,19615,0,1
1653294314179,17787,Home page,200,,User threads 1-185,text,true,,3364,116,500,500,http://localhost:8080/,17787,0,0
1653294311654,20313,Home page,200,,User threads 1-65,text,true,,3364,116,500,500,http://localhost:8080/,20224,0,1
1653294311786,20183,Home page,200,,User threads 1-71,text,true,,3364,116,500,500,http://localhost:8080/,20182,0,1
1653294314730,17239,Home page,200,,User threads 1-211,text,true,,3364,116,500,500,http://localhost:8080/,17239,0,1
1653294312957,19017,Home page,200,,User threads 1-126,text,true,,3364,116,500,500,http://localhost:8080/,18718,0,1
1653294311065,20909,Home page,200,,User threads 1-38,text,true,,3364,116,500,500,http://localhost:8080/,20710,0,1
1653294313863,18206,Home page,200,,User threads 1-170,text,true,,3364,116,500,500,http://localhost:8080/,18125,0,1
1653294312796,19276,Home page,200,,User threads 1-118,text,true,,3364,116,500,500,http://localhost:8080/,19276,0,1
1653294313184,18890,Home page,200,,User threads 1-137,text,true,,3364,116,500,500,http://localhost:8080/,18804,0,0
1653294314323,17752,Home page,200,,User threads 1-192,text,true,,3364,116,500,500,http://localhost:8080/,17450,0,0
1653294313304,18870,Home page,200,,User threads 1-143,text,true,,3364,116,500,500,http://localhost:8080/,18569,0,1
1653294313282,18990,Home page,200,,User threads 1-142,text,true,,3364,116,500,500,http://localhost:8080/,18988,0,1
1653294314837,17437,Home page,200,,User threads 1-216,text,true,,3364,116,500,500,http://localhost:8080/,17339,0,0
1653294314392,17993,Home page,200,,User threads 1-195,text,true,,3364,116,500,500,http://localhost:8080/,17878,0,1
1653294314027,18359,Home page,200,,User threads 1-178,text,true,,3364,116,500,500,http://localhost:8080/,18359,0,0
1653294312743,19643,Home page,200,,User threads 1-115,text,true,,3364,116,500,500,http://localhost:8080/,19643,0,1
1653294313942,18527,Home page,200,,User threads 1-174,text,true,,3364,116,500,500,http://localhost:8080/,18130,0,1
1653294314522,17950,Home page,200,,User threads 1-201,text,true,,3364,116,500,500,http://localhost:8080/,17351,0,1
1653294312481,20090,Home page,200,,User threads 1-103,text,true,,3364,116,500,500,http://localhost:8080/,20090,0,0
1653294311328,21339,Home page,200,,User threads 1-50,text,true,,3364,116,500,500,http://localhost:8080/,21339,0,0
1653294316529,16143,Home page,200,,User threads 1-298,text,true,,3364,116,500,500,http://localhost:8080/,16142,0,1
1653294315886,16891,Home page,200,,User threads 1-266,text,true,,3364,116,500,500,http://localhost:8080/,16786,0,1
1653294315072,17706,Home page,200,,User threads 1-227,text,true,,3364,116,500,500,http://localhost:8080/,17706,0,0
1653294310872,21992,Home page,200,,User threads 1-29,text,true,,3364,116,500,500,http://localhost:8080/,21906,0,1
1653294316628,16243,Home page,200,,User threads 1-303,text,true,,3364,116,500,500,http://localhost:8080/,16243,0,1
1653294316610,16358,Home page,200,,User threads 1-302,text,true,,3364,116,500,500,http://localhost:8080/,16357,0,1
1653294314646,18325,Home page,200,,User threads 1-207,text,true,,3364,116,500,500,http://localhost:8080/,18324,0,1
1653294316231,16740,Home page,200,,User threads 1-283,text,true,,3364,116,500,500,http://localhost:8080/,16740,0,1
1653294315222,17846,Home page,200,,User threads 1-234,text,true,,3364,116,500,500,http://localhost:8080/,17646,0,0
1653294315367,17812,Home page,200,,User threads 1-241,text,true,,3364,116,500,500,http://localhost:8080/,17812,0,1
1653294316050,17138,Home page,200,,User threads 1-274,text,true,,3364,116,500,500,http://localhost:8080/,17138,0,1
1653294313516,19756,Home page,200,,User threads 1-153,text,true,,3364,116,500,500,http://localhost:8080/,19755,0,1
1653294313654,19621,Home page,200,,User threads 1-160,text,true,,3364,116,500,500,http://localhost:8080/,19621,0,1
1653294316852,16423,Home page,200,,User threads 1-314,text,true,,3364,116,500,500,http://localhost:8080/,16423,0,1
1653294313983,19389,Home page,200,,User threads 1-176,text,true,,3364,116,500,500,http://localhost:8080/,19389,0,1
1653294312817,20556,Home page,200,,User threads 1-119,text,true,,3364,116,500,500,http://localhost:8080/,20554,0,0
1653294311834,21542,Home page,200,,User threads 1-73,text,true,,3364,116,500,500,http://localhost:8080/,21541,0,1
1653294316913,16463,Home page,200,,User threads 1-317,text,true,,3364,116,500,500,http://localhost:8080/,16462,0,0
1653294313636,19836,Home page,200,,User threads 1-159,text,true,,3364,116,500,500,http://localhost:8080/,19836,0,1
1653294315284,18192,Home page,200,,User threads 1-237,text,true,,3364,116,500,500,http://localhost:8080/,18192,0,1
1653294313432,20140,Home page,200,,User threads 1-149,text,true,,3364,116,500,500,http://localhost:8080/,19237,0,0
1653294316111,17553,Home page,200,,User threads 1-277,text,true,,3364,116,500,500,http://localhost:8080/,16957,0,0
1653294316430,17235,Home page,200,,User threads 1-293,text,true,,3364,116,500,500,http://localhost:8080/,16350,0,1
1653294314195,19471,Home page,200,,User threads 1-186,text,true,,3364,116,500,500,http://localhost:8080/,19177,0,1
1653294313260,20509,Home page,200,,User threads 1-141,text,true,,3364,116,500,500,http://localhost:8080/,20509,0,1
1653294314259,19510,Home page,200,,User threads 1-189,text,true,,3364,116,500,500,http://localhost:8080/,19505,0,1
1653294314901,18961,Home page,200,,User threads 1-219,text,true,,3364,116,500,500,http://localhost:8080/,18669,0,1
1653294314561,19301,Home page,200,,User threads 1-203,text,true,,3364,116,500,500,http://localhost:8080/,19114,0,0
1653294313880,19984,Home page,200,,User threads 1-171,text,true,,3364,116,500,500,http://localhost:8080/,19887,0,0
1653294330281,3584,CSS,200,,User threads 1-162,text,true,,152736,143,500,500,http://localhost:8080/resources/css/petclinic.css,2291,0,0
